Property Name,Numerator,Denominator
SCRDEBTR,SCRDEBT,ASSET
SCSFPR,SCSFP,ASSET
SCSNHAAR,SCSNHAA,ASSET
SCSNHAFR,SCSNHAF,ASSET
SZ30AUTOR,SZ30AUTO,ASSET
SZ30CIR,SZ30CI,ASSET
SZ30CONR,SZ30CON,ASSET
SZ30CRCDR,SZ30CRCD,ASSET
SZ30HELR,SZ30HEL,ASSET
SZ30OTHR,SZ30OTH,ASSET
SZ30RESR,SZ30RES,ASSET
SZ90AUTOR,SZ90AUTO,ASSET
SZ90CIR,SZ90CI,ASSET
SZ90CONR,SZ90CON,ASSET
SZ90CRCDR,SZ90CRCD,ASSET
SZ90HELR,SZ90HEL,ASSET
SZ90OTHR,SZ90OTH,ASSET
SZ90RESR,SZ90RES,ASSET
SZCRAUTOR,SZCRAUTO,ASSET
SZCRCDFER,SZCRCDFE,ASSET
SZCRCIR,SZCRCI,ASSET
SZCRCONR,SZCRCON,ASSET
SZCRCRCDR,SZCRCRCD,ASSET
SZCRHELR,SZCRHEL,ASSET
SZCROTHR,SZCROTH,ASSET
SZCRRESR,SZCRRES,ASSET
SZDRAUTOR,SZDRAUTO,ASSET
SZDRCIR,SZDRCI,ASSET
SZDRCONR,SZDRCON,ASSET
SZDRCRCDR,SZDRCRCD,ASSET
SZDRHELR,SZDRHEL,ASSET
SZDROTHR,SZDROTH,ASSET
SZISLAUTR,SZISLAUT,ASSET
SZISLCCDR,SZISLCCD,ASSET
SZISLCIR,SZISLCI,ASSET
SZISLCONR,SZISLCON,ASSET
SZISLHELR,SZISLRES,ASSET
SZISLOTHR,SZISLOTH,ASSET
SZISLRESR,SZISLRES,ASSET
SZLAUTOR,SZLAUTO,ASSET
SZLNCIR,SZLNCI,ASSET
SZLNCONR,SZLNCON,ASSET
SZLNCRCDR,SZLNCRCD,ASSET
SZLNHELR,SZLNHEL,ASSET
SZLNOTHR,SZLNOTH,ASSET
SZLNRESR,SZLNRES,ASSET
TRLREVALR,TRLREVAL,ASSET
TRNCBOR,TRNCBO,ASSET
TRNFCFGR,TRNFCFG,ASSET
TRNNIAR,TRNNIA,ASSET
UCR,UC,ASSET
UCCOMRER,UCCOMRE,ASSET
UCCOMRESR,UCCOMRES,ASSET
UCCOMREUR,UCCOMREU,ASSET
UCCRCDR,UCCRCD,ASSET
UCLOCR,UCLOC,ASSET
UCOTHERR,UCOTHE,ASSET
UCOVER1R,UCOVER1,ASSET
UCSCR,UCSC,ASSET
UNINCFORR,UNINCFOR,ASSET
VOLIABR,VOLIAB,ASSET
AVMMLFR,AVMMLF,ASSET
AVPPPPLGR,AVPPPPLG,ASSET
MMLFBALR,MMLFBAL,ASSET
PPPLFOV1R,PPPLFOV1,ASSET
PPPLNBALR,PPPLNBAL,ASSET
PPPLNNUMR,PPPLNNUM,ASSET
PPPLNPLGR,PPPLNPLG,ASSET
PPPLF1LSR,PPPLF1LS,ASSET
IDNTCIR,NTCIA,LNCI5
IDNTCONR,NTCONA,LNCON5
IDNTCRDR,NTCRCDA,LNCRCD5
IDNTILR,NTINCL,INSTCNT
IDNCCIR,NCCI,LNCI
IDNCCONR,NCCON,LNCON
IDNCCRDR,NCCRCD,LNCRCD
IDNCATOR,NCAUTO,LNAUTO
IDNTATOR,NTAUTOA,LNAUTO5
IDNTCOTR,NTCONOTA,LNCONOT5
IDDEPINR,DEPINS,DEPBEFEX
IDDIVNIR,EQCDIVA,NETINCA
IDNCCOTR,NCCONOTH,LNCONORP
INTINCY,INTINCA,ERNAST5
IDNCGTPR,NCGTYPAR,NCLNLS
IDLNCORR,LNLSNET,COREDEP
IDT1CER,IDT1CNOCB,RWAJ
IDT1RWAJR,IDT1JNOCB,RWAJ
